suburb,lat,lng
Abbotsbury,-33.875,150.862
Abbotsford,-33.85215,151.12726
Acacia Gardens,-33.7322,150.917
Agnes Banks,-33.61529,150.71616
Airds,-34.0916,150.8249
Alexandria,-33.9080273,151.1902576
Alfords Point,-33.9848,151.02142
Allambie Heights,-33.7624,151.25
Allawah,-33.9749,151.1167
Ambarvale,-34.08333,150.80067
Annandale,-33.8814,151.1707
Annangrove,-33.65255,150.94096
Arcadia,-33.62429,151.04455
Arncliffe,-33.93915010000001,151.1478116
Arndell Park,-33.79,150.876
Artarmon,-33.8093311,151.185647
Ashbury,-33.8997098,151.1199309
Ashcroft,-33.91447,150.8987392
Ashfield,-33.8889,151.1249
Asquith,-33.689,151.105
Auburn,-33.8605837,151.02475
Austral,-33.93109,150.79361
Avalon Beach,-33.6302836,151.3297698
Badgerys Creek,-33.8828765,150.7608502
Balgowlah,-33.79645,151.25854
Balgowlah Heights,-33.8072234,151.2641654
Balmain,-33.85895,151.17906
Balmain East,-33.85811,151.19017
Bangor,-34.01908,151.02735
Banksia,-33.94776,151.14806
Banksmeadow,-33.95731,151.20699
Bankstown,-33.91817,151.03497
Bankstown Aerodrome,-33.9216102,150.9860137
Barangaroo,-33.8637941,151.2022304
Barden Ridge,-34.032,151.01
Bardia,-33.9782167,150.8578648
Bardwell Park,-33.93539,151.12541
Bardwell Valley,-33.937,151.133
Bass Hill,-33.90092,150.9949
Baulkham Hills,-33.7619106,150.9929255
Bayview,-33.658,151.288
Beacon Hill,-33.7522,151.256
Beaconsfield,-33.91096,151.19995
Beaumont Hills,-33.7,150.941
Beecroft,-33.7511096,151.0651688
Belfield,-33.905,151.084
Bella Vista,-33.7385583,150.9502708
Bellevue Hill,-33.88101,151.25253
Belmore,-33.919672,151.0896126
Belrose,-33.73,151.22
Berala,-33.87487,151.03073
Berkshire Park,-33.6886,150.78165
Berowra,-33.62797380000001,151.1480265
Berowra Creek,-33.5292626,151.139068
Berowra Heights,-33.61334,151.138
Berowra Waters,-33.602344,151.120659
Berrilee,-33.61547,151.09811
Beverley Park,-33.97897,151.1285
Beverly Hills,-33.9488484,151.0803942
Bexley,-33.9525324,151.1226904
Bexley North,-33.9418,151.1114
Bickley Vale,-34.08,150.665
Bidwill,-33.7315556,150.8231418
Bilgola Beach,-33.6444858,151.3275826
Bilgola Plateau,-33.6429152,151.3137307
Birchgrove,-33.85275,151.18024
Birrong,-33.893,151.023
Blackett,-33.73934,150.81266
Blacktown,-33.76680690000001,150.905298
Blair Athol,-34.063,150.8
Blairmount,-34.04881,150.78734
Blakehurst,-33.9897654,151.1080239
Bligh Park,-33.638,150.799
Bondi,-33.89195,151.26099
Bondi Beach,-33.8914755,151.2766845
Bondi Junction,-33.89145,151.2497
Bonnet Bay,-34.01025,151.05238
Bonnyrigg,-33.89812,150.89006
Bonnyrigg Heights,-33.89112,150.87206
Bossley Park,-33.86341,150.88364
Botany,-33.9469267,151.1973167
Bow Bowing,-34.01853,150.83816
Box Hill,-33.65,150.88
Bradbury,-34.08734,150.81626
Breakfast Point,-33.844,151.1129
Brighton-Le-Sands,-33.9590873,151.1520593
Bringelly,-33.92178,150.73234
Bronte,-33.90532,151.26069
Brooklyn,-33.5483592,151.2149798
Brookvale,-33.7653,151.27041
Bundeena,-34.08341619999999,151.1515469
Bungarribee,-33.7778159,150.8638434
Burraneer,-34.06996,151.13664
Burwood,-33.8773941,151.1036621
Burwood Heights,-33.8902,151.1052
Busby,-33.91413000000001,150.88247
Cabarita,-33.84802,151.11485
Cabramatta,-33.8954675,150.9384081
Cabramatta West,-33.8947,150.915
Caddens,-33.7745325,150.7374139
Cambridge Gardens,-33.738,150.721
Cambridge Park,-33.748333,150.734444
Camden,-34.054444,150.695833
Camden South,-34.08539,150.70744
Camellia,-33.8194143,151.0333082
Cammeray,-33.8229724,151.2102367
Campbelltown,-34.0666148,150.8195571
Camperdown,-33.88622429999999,151.1791091
Campsie,-33.9130393,151.1040623
Canada Bay,-33.8671,151.1139
Canley Heights,-33.88502,150.9276
Canley Vale,-33.88642,150.946
Canoelands,-33.50824,151.06178
Canterbury,-33.9126,151.118
Caringbah,-34.0452,151.1218
Caringbah South,-34.0529294,151.1199309
Carlingford,-33.7770423,151.0456097
Carlton,-33.9685296,151.1246063
Carnes Hill,-33.9383285,150.8478522
Carramar,-33.88605,150.96442
Carss Park,-33.98718,151.11889
Cartwright,-33.9240777,150.8914686
Castle Cove,-33.78464,151.20642
Castle Hill,-33.7311837,151.0042006
Castlecrag,-33.80137,151.22007
Castlereagh,-33.6719,150.6784
Casula,-33.9503864,150.9044946
Catherine Field,-33.9833,150.76
Cattai,-33.5561,150.91205
Cawdor,-34.083333,150.683333
Cecil Hills,-33.8876831,150.8490573
Cecil Park,-33.87297,150.83823
Centennial Park,-33.8942521,151.2330449
Central Business District,-33.8708464,151.20733
Chatswood,-33.7960696,151.1780469
Chatswood West,-33.7966739,151.1621677
Cheltenham,-33.7553681,151.078072
Cherrybrook,-33.7251,151.04931
Chester Hill,-33.87838,151.00443
Chifley,-33.969,151.24
Chippendale,-33.8863,151.1999
Chipping Norton,-33.911,150.959
Chiswick,-33.85192,151.13605
Chullora,-33.8908,151.0475
Church Point,-33.6544,151.2791
Claremont Meadows,-33.779,150.753
Clarendon,-33.6117,150.78707
Clareville,-33.6362228,151.3100857
Claymore,-34.0444,150.8096
Clemton Park,-33.9258275,151.104641
Clontarf,-33.80834,151.25342
Clovelly,-33.9121,151.2629
Clyde,-33.8325954,151.0223928
Coasters Retreat,-33.605,151.299
Cobbitty,-34.016667,150.683333
Colebee,-33.721,150.855
Collaroy,-33.73,151.3
Collaroy Plateau,-33.7293326,151.290404
Colyton,-33.7830958,150.7954903
Como,-34.0045,151.06379
Concord,-33.8550219,151.1078139
Concord West,-33.8396663,151.088239
Condell Park,-33.92498,151.00769
Connells Point,-33.98246,151.10016
Constitution Hill,-33.7945,150.9765
Coogee,-33.919,151.2555
Cornwallis,-33.592,150.812
Cottage Point,-33.62090999999999,151.20225
Cowan,-33.5879078,151.16854
Cranebrook,-33.72088,150.71302
Cremorne,-33.8265345,151.2276279
Cremorne Point,-33.84076,151.22789
Cromer,-33.74142,151.28227
Cronulla,-34.05744,151.15219
Crows Nest,-33.82613,151.20505
Croydon,-33.8808766,151.1154679
Croydon Park,-33.89679,151.10951
Cumberland Reach,-33.456,150.896
Curl Curl,-33.77213,151.28992
Currans Hill,-34.04084,150.76853
Currawong Beach,-33.5952002,151.2979869
Daceyville,-33.92793,151.22349
Dangar Island,-33.54142,151.2381
Darling Point,-33.87021,151.23746
Darlinghurst,-33.8780176,151.2204441
Darlington,-33.890334,151.19661
Davidson,-33.73801,151.19297
Dawes Point,-33.856,151.207
Dean Park,-33.7333,150.85
Dee Why,-33.7544,151.2854
Denham Court,-33.9844003,150.8444381
Denistone,-33.80085,151.08648
Denistone East,-33.79885,151.09948
Denistone West,-33.8007216,151.0777054
Dharruk,-33.74807,150.8159
Dolans Bay,-34.06259,151.12641
Dolls Point,-33.99386,151.14301
Doonside,-33.7639837,150.8696588
Double Bay,-33.8775,151.2412
Dover Heights,-33.87185,151.27837
Drummoyne,-33.8510541,151.1545209
Duffys Forest,-33.67525,151.19789
Dulwich Hill,-33.90332679999999,151.1424436
Dundas,-33.80404,151.0351
Dundas Valley,-33.79312,151.05999
Dural,-33.682,151.029
Eagle Vale,-34.03686,150.81144
Earlwood,-33.922442,151.1286591
East Gordon,-33.7471743,151.1575123
East Hills,-33.96396,150.98974
East Killara,-33.75592,151.17973
East Kurrajong,-33.515278,150.767778
East Lindfield,-33.77274,151.18726
East Ryde,-33.81,151.135
Eastern Creek,-33.8071983,150.8514864
Eastgardens,-33.946,151.225
Eastlakes,-33.9272474,151.2106299
Eastwood,-33.790362,151.081731
Ebenezer,-33.5318,150.8679
Edensor Park,-33.88095,150.87516
Edgecliff,-33.8799875,151.2357452
Edmondson Park,-33.9606778,150.8622496
Elanora Heights,-33.70102,151.2789
Elderslie,-34.05462,150.7125
Elizabeth Bay,-33.87143,151.22841
Elizabeth Hills,-33.9000666,150.8478522
Ellis Lane,-34.034,150.675
Elvina Bay,-33.639515,151.277825
Emerton,-33.75,150.8027
Emu Heights,-33.73521,150.6503
Emu Plains,-33.75206,150.65967
Enfield,-33.89059,151.09246
Engadine,-34.065722,151.012664
Englorie Park,-34.0806577,150.7948026
Enmore,-33.90067,151.16768
Epping,-33.7746,151.0788
Ermington,-33.8143301,151.0562386
Erskine Park,-33.81323,150.80143
Erskineville,-33.90476,151.18479
